task	mode	threshold	eval_on	P	R	F1	MRR	Hits@1	Hits@5	Hits@10	n_preds	n_refs	tp	n_test	src_missing
omim-ordo	sweep	0.75	test.tsv	0.7346246973365618	0.582341650671785	0.6496788008565311	0.8212133666139108	0.7481765834932822	0.9124760076775432	0.9558541266794626	2065	2605	1517	2605	0
ncit-doid	sweep	0.7	test.tsv	0.9083023543990086	0.8939024390243903	0.9010448678549478	0.94205483699815	0.913109756097561	0.9762195121951219	0.9902439024390244	3228	3280	2932	3280	0
snomed-fma.body	sweep	0.85	test.tsv	0.882648401826484	0.7611734593423902	0.8174225605243683	0.9130819069076234	0.868478046859618	0.9702697381374287	0.9873990943099035	4380	5079	3866	5079	0
snomed-ncit.pharm	sweep	0.7	test.tsv	0.9526209677419355	0.930576070901034	0.9414694894146949	0.9795283781893495	0.9682422451994092	0.9911373707533235	0.9955686853766618	3968	4062	3780	4062	0
snomed-ncit.neoplas	sweep	0.85	test.tsv	0.8669603524229075	0.7390161472024033	0.7978917494425298	0.9223999133880154	0.8775816748028539	0.9827262485918138	0.9943672549755914	2270	2663	1968	2663	0
