task	mode	threshold	eval_on	P	R	F1	MRR	Hits@1	Hits@5	Hits@10	n_preds	n_refs	tp	n_test	src_missing
omim-ordo	fixed	0.9	full.tsv	0.8728663919952914	0.3985487772104273	0.5472324723247233	0.8212133666139108	0.7481765834932822	0.9124760076775432	0.9558541266794626	1699	3721	1483	2605	0
ncit-doid	fixed	0.9	full.tsv	0.8512269938650306	0.8290653008962868	0.84	0.94205483699815	0.913109756097561	0.9762195121951219	0.9902439024390244	4564	4686	3885	3280	0
snomed-fma.body	fixed	0.9	full.tsv	0.425125788675026	0.7335997794928335	0.5383020680588563	0.9130819069076234	0.868478046859618	0.9702697381374287	0.9873990943099035	12521	7256	5323	5079	0
snomed-ncit.pharm	fixed	0.9	full.tsv	0.9136677893990427	0.8881612958814407	0.9007340090877316	0.9795283781893495	0.9682422451994092	0.9911373707533235	0.9955686853766618	5641	5803	5154	4062	0
snomed-ncit.neoplas	fixed	0.9	full.tsv	0.6302816901408451	0.7058359621451105	0.6659226190476191	0.9223999133880154	0.8775816748028539	0.9827262485918138	0.9943672549755914	4260	3804	2685	2663	0
